Date,equity
2023-08-28,100000.0
2023-08-29,100000.0
2023-08-30,100000.0
2023-08-31,100000.0
2023-09-01,100000.0
2023-09-04,100000.0
2023-09-05,100000.0
2023-09-06,100000.0
2023-09-07,100000.0
2023-09-08,100000.0
2023-09-11,100000.0
2023-09-12,102036.99451737125
2023-09-13,103394.18173407036
2023-09-14,103405.97220072625
2023-09-15,103103.94781628143
2023-09-18,102180.70682871943
2023-09-19,104333.74636558638
2023-09-20,104383.7236658131
2023-09-21,105630.4444222622
2023-09-22,103037.02623655889
2023-09-25,103792.76388995769
2023-09-26,100441.48791766443
2023-09-27,96519.5213541546
2023-09-28,96003.66824669346
2023-09-29,94377.46034175377
2023-10-02,94734.07017731412
2023-10-03,94457.37436736887
2023-10-04,94457.37436736887
2023-10-05,94457.37436736887
2023-10-06,94457.37436736887
2023-10-09,94457.37436736887
2023-10-10,94457.37436736887
2023-10-11,94457.37436736887
2023-10-12,94457.37436736887
2023-10-13,94457.37436736887
2023-10-16,94457.37436736887
2023-10-17,94457.37436736887
2023-10-18,94457.37436736887
2023-10-19,94457.37436736887
2023-10-20,94457.37436736887
2023-10-23,94457.37436736887
2023-10-24,94457.37436736887
2023-10-25,94457.37436736887
2023-10-26,94457.37436736887
2023-10-27,94457.37436736887
2023-10-30,94457.37436736887
2023-10-31,94457.37436736887
2023-11-01,94457.37436736887
2023-11-02,94457.37436736887
2023-11-03,94457.37436736887
2023-11-06,94457.37436736887
2023-11-07,94457.37436736887
2023-11-08,94457.37436736887
2023-11-09,94457.37436736887
2023-11-10,94457.37436736887
2023-11-13,94457.37436736887
2023-11-14,94457.37436736887
2023-11-15,94457.37436736887
2023-11-16,94457.37436736887
2023-11-17,94457.37436736887
2023-11-20,94457.37436736887
2023-11-21,94457.37436736887
2023-11-22,94457.37436736887
2023-11-23,94457.37436736887
2023-11-24,94457.37436736887
2023-11-27,94457.37436736887
2023-11-28,94457.37436736887
2023-11-29,94457.37436736887
2023-11-30,94457.37436736887
2023-12-01,94457.37436736887
2023-12-04,94457.37436736887
2023-12-05,94457.37436736887
2023-12-06,94457.37436736887
2023-12-07,94457.37436736887
2023-12-08,94457.37436736887
2023-12-11,94457.37436736887
2023-12-12,94457.37436736887
2023-12-13,94457.37436736887
2023-12-14,94457.37436736887
2023-12-15,94457.37436736887
2023-12-18,94457.37436736887
2023-12-19,94457.37436736887
2023-12-20,94457.37436736887
2023-12-21,94457.37436736887
2023-12-22,94457.37436736887
2023-12-25,94457.37436736887
2023-12-26,94457.37436736887
2023-12-27,94457.37436736887
2023-12-28,94457.37436736887
2023-12-29,94457.37436736887
2024-01-01,94457.37436736887
2024-01-02,94457.37436736887
2024-01-03,94457.37436736887
2024-01-04,94457.37436736887
2024-01-05,94457.37436736887
2024-01-08,94457.37436736887
2024-01-09,94457.37436736887
2024-01-10,94457.37436736887
2024-01-11,94457.37436736887
2024-01-12,94457.37436736887
2024-01-15,94457.37436736887
2024-01-16,94457.37436736887
2024-01-17,94457.37436736887
2024-01-18,94457.37436736887
2024-01-19,94457.37436736887
2024-01-22,94457.37436736887
2024-01-23,94457.37436736887
2024-01-24,94457.37436736887
2024-01-25,94457.37436736887
2024-01-26,94457.37436736887
2024-01-29,94457.37436736887
2024-01-30,94457.37436736887
2024-01-31,94457.37436736887
2024-02-01,94457.37436736887
2024-02-02,94457.37436736887
2024-02-05,94457.37436736887
2024-02-06,94457.37436736887
2024-02-07,95233.32463630405
2024-02-08,96738.03225410658
2024-02-09,98360.21043856948
2024-02-12,100182.34388025456
2024-02-13,99352.08038173037
2024-02-14,102340.92254646805
2024-02-15,99916.54759426243
2024-02-16,101651.44002464715
2024-02-19,102688.47559287728
2024-02-20,104495.28458021373
2024-02-21,108379.55661415099
2024-02-22,111575.55195937521
2024-02-23,109152.74987716625
2024-02-26,105627.41634809699
2024-02-27,107369.25653438139
2024-02-28,105309.92259374738
2024-02-29,105346.00156107156
2024-03-01,107130.0488999035
2024-03-04,103763.65114776403
2024-03-05,99561.13272915424
2024-03-06,100121.9765233442
2024-03-07,100266.99558893488
2024-03-08,99845.66717351033
2024-03-11,99978.91043974893
2024-03-12,98362.0917360985
2024-03-13,95520.78058483764
2024-03-14,95266.60838829595
2024-03-15,94988.35716020664
2024-03-18,94988.35716020664
2024-03-19,94988.35716020664
2024-03-20,94988.35716020664
2024-03-21,94988.35716020664
2024-03-22,94988.35716020664
2024-03-25,94988.35716020664
2024-03-26,94988.35716020664
2024-03-27,94988.35716020664
2024-03-28,94988.35716020664
2024-03-29,94988.35716020664
2024-04-01,94988.35716020664
2024-04-02,94988.35716020664
2024-04-03,94988.35716020664
2024-04-04,94988.35716020664
2024-04-05,94988.35716020664
2024-04-08,94988.35716020664
2024-04-09,94988.35716020664
2024-04-10,94988.35716020664
2024-04-11,94988.35716020664
2024-04-12,94988.35716020664
2024-04-15,94988.35716020664
2024-04-16,94988.35716020664
2024-04-17,94988.35716020664
2024-04-18,94988.35716020664
2024-04-19,94988.35716020664
2024-04-22,94988.35716020664
2024-04-23,94988.35716020664
2024-04-24,94988.35716020664
2024-04-25,94988.35716020664
2024-04-26,94988.35716020664
2024-04-29,94988.35716020664
2024-04-30,94988.35716020664
2024-05-01,94988.35716020664
2024-05-02,94988.35716020664
2024-05-03,94988.35716020664
2024-05-06,94988.35716020664
2024-05-07,94988.35716020664
2024-05-08,94988.35716020664
2024-05-09,94988.35716020664
2024-05-10,94988.35716020664
2024-05-13,94988.35716020664
2024-05-14,94988.35716020664
2024-05-15,94988.35716020664
2024-05-16,94988.35716020664
2024-05-17,94988.35716020664
2024-05-20,94988.35716020664
