,returns
2025-08-03 14:25:52.287024+00:00,0.0
2025-08-03 15:25:52.287024+00:00,-0.0
2025-08-03 16:25:52.287024+00:00,-0.0
2025-08-03 17:25:52.287024+00:00,0.0
2025-08-03 18:25:52.287024+00:00,0.0
2025-08-03 19:25:52.287024+00:00,0.0
2025-08-03 20:25:52.287024+00:00,-0.0
2025-08-03 21:25:52.287024+00:00,-0.0
2025-08-03 22:25:52.287024+00:00,-0.0
2025-08-03 23:25:52.287024+00:00,-0.0
2025-08-04 00:25:52.287024+00:00,-0.0
2025-08-04 01:25:52.287024+00:00,-0.0
2025-08-04 02:25:52.287024+00:00,0.0
2025-08-04 03:25:52.287024+00:00,-0.0
2025-08-04 04:25:52.287024+00:00,-0.0
2025-08-04 05:25:52.287024+00:00,0.0
2025-08-04 06:25:52.287024+00:00,-0.0
2025-08-04 07:25:52.287024+00:00,-0.0
2025-08-04 08:25:52.287024+00:00,-0.0
2025-08-04 09:25:52.287024+00:00,0.0
2025-08-04 10:25:52.287024+00:00,0.0
2025-08-04 11:25:52.287024+00:00,-0.0
2025-08-04 12:25:52.287024+00:00,0.0
2025-08-04 13:25:52.287024+00:00,-0.0
2025-08-04 14:25:52.287024+00:00,0.0
2025-08-04 15:25:52.287024+00:00,0.0
2025-08-04 16:25:52.287024+00:00,0.0
2025-08-04 17:25:52.287024+00:00,0.0
2025-08-04 18:25:52.287024+00:00,-0.0
2025-08-04 19:25:52.287024+00:00,0.0
2025-08-04 20:25:52.287024+00:00,0.0
2025-08-04 21:25:52.287024+00:00,-0.0
2025-08-04 22:25:52.287024+00:00,0.0
2025-08-04 23:25:52.287024+00:00,-0.0
2025-08-05 00:25:52.287024+00:00,-0.0
2025-08-05 01:25:52.287024+00:00,-0.0
2025-08-05 02:25:52.287024+00:00,0.0
2025-08-05 03:25:52.287024+00:00,-0.0
2025-08-05 04:25:52.287024+00:00,0.0
2025-08-05 05:25:52.287024+00:00,0.0
2025-08-05 06:25:52.287024+00:00,-0.0
2025-08-05 07:25:52.287024+00:00,0.0
2025-08-05 08:25:52.287024+00:00,-0.0
2025-08-05 09:25:52.287024+00:00,-0.0
2025-08-05 10:25:52.287024+00:00,0.006121023059428935
2025-08-05 11:25:52.287024+00:00,0.00025396355475382215
2025-08-05 12:25:52.287024+00:00,0.00039184561189054
2025-08-05 13:25:52.287024+00:00,-0.006945269190112624
2025-08-05 14:25:52.287024+00:00,-0.001579990245000218
2025-08-05 15:25:52.287024+00:00,-0.0011315029559113565
2025-08-05 16:25:52.287024+00:00,0.0033695853378572505
2025-08-05 17:25:52.287024+00:00,0.0048895568413458435
2025-08-05 18:25:52.287024+00:00,-0.002798886816693602
2025-08-05 19:25:52.287024+00:00,0.0046097506921722875
2025-08-05 20:25:52.287024+00:00,-0.0010847543647654057
2025-08-05 21:25:52.287024+00:00,-0.00015527562610739842
2025-08-05 22:25:52.287024+00:00,0.004519875495811121
2025-08-05 23:25:52.287024+00:00,0.004647163813221722
2025-08-06 00:25:52.287024+00:00,0.004377346326071896
2025-08-06 01:25:52.287024+00:00,0.0005816066054828983
2025-08-06 02:25:52.287024+00:00,-0.0036112917757152863
2025-08-06 03:25:52.287024+00:00,0.004419673944667801
2025-08-06 04:25:52.287024+00:00,0.0030712764151066274
2025-08-06 05:25:52.287024+00:00,0.0008886979120781291
2025-08-06 06:25:52.287024+00:00,0.003847060309506878
2025-08-06 07:25:52.287024+00:00,-0.002809349674563366
2025-08-06 08:25:52.287024+00:00,0.0020237883861451422
2025-08-06 09:25:52.287024+00:00,-0.0005649889231110761
2025-08-06 10:25:52.287024+00:00,-0.007882577605603291
2025-08-06 11:25:52.287024+00:00,0.0016229426058760321
2025-08-06 12:25:52.287024+00:00,-0.0037825003957256964
2025-08-06 13:25:52.287024+00:00,-0.004381954457106985
2025-08-06 14:25:52.287024+00:00,0.0012703132887534885
2025-08-06 15:25:52.287024+00:00,-0.003821087364610287
2025-08-06 16:25:52.287024+00:00,0.0035155856134028163
2025-08-06 17:25:52.287024+00:00,-0.0014579267330487866
2025-08-06 18:25:52.287024+00:00,0.0018964715133247267
2025-08-06 19:25:52.287024+00:00,-0.0005082111611169893
2025-08-06 20:25:52.287024+00:00,0.004996609109144012
2025-08-06 21:25:52.287024+00:00,-0.0
2025-08-06 22:25:52.287024+00:00,0.0
2025-08-06 23:25:52.287024+00:00,0.0
2025-08-07 00:25:52.287024+00:00,0.002294436062434291
2025-08-07 01:25:52.287024+00:00,0.0010397442709426663
2025-08-07 02:25:52.287024+00:00,0.0022629118441781504
2025-08-07 03:25:52.287024+00:00,0.0008931169054766652
2025-08-07 04:25:52.287024+00:00,-0.002112655876034264
2025-08-07 05:25:52.287024+00:00,0.0018230527096669835
2025-08-07 06:25:52.287024+00:00,0.002025791584932657
2025-08-07 07:25:52.287024+00:00,-0.005088828166382342
2025-08-07 08:25:52.287024+00:00,-0.003315125316949552
2025-08-07 09:25:52.287024+00:00,-0.0016476801817298936
2025-08-07 10:25:52.287024+00:00,0.004401938392232241
2025-08-07 11:25:52.287024+00:00,0.002130516805192162
2025-08-07 12:25:52.287024+00:00,-0.002195809573198426
2025-08-07 13:25:52.287024+00:00,0.003918304116451443
2025-08-07 14:25:52.287024+00:00,-0.0012350011407687989
2025-08-07 15:25:52.287024+00:00,-0.004371863140752108
2025-08-07 16:25:52.287024+00:00,0.005271297337332559
