,equity
2025-08-03 13:27:02.153235+00:00,10000.0
2025-08-03 14:27:02.153235+00:00,10000.0
2025-08-03 15:27:02.153235+00:00,10000.0
2025-08-03 16:27:02.153235+00:00,10000.0
2025-08-03 17:27:02.153235+00:00,10000.0
2025-08-03 18:27:02.153235+00:00,10000.0
2025-08-03 19:27:02.153235+00:00,10000.0
2025-08-03 20:27:02.153235+00:00,10000.0
2025-08-03 21:27:02.153235+00:00,10000.0
2025-08-03 22:27:02.153235+00:00,10000.0
2025-08-03 23:27:02.153235+00:00,10000.0
2025-08-04 00:27:02.153235+00:00,10000.0
2025-08-04 01:27:02.153235+00:00,10000.0
2025-08-04 02:27:02.153235+00:00,10000.0
2025-08-04 03:27:02.153235+00:00,10000.0
2025-08-04 04:27:02.153235+00:00,10000.0
2025-08-04 05:27:02.153235+00:00,10000.0
2025-08-04 06:27:02.153235+00:00,10000.0
2025-08-04 07:27:02.153235+00:00,10000.0
2025-08-04 08:27:02.153235+00:00,10000.0
2025-08-04 09:27:02.153235+00:00,10000.0
2025-08-04 10:27:02.153235+00:00,10000.0
2025-08-04 11:27:02.153235+00:00,10000.0
2025-08-04 12:27:02.153235+00:00,10000.0
2025-08-04 13:27:02.153235+00:00,10000.0
2025-08-04 14:27:02.153235+00:00,10000.0
2025-08-04 15:27:02.153235+00:00,10000.0
2025-08-04 16:27:02.153235+00:00,10000.0
2025-08-04 17:27:02.153235+00:00,10000.0
2025-08-04 18:27:02.153235+00:00,10000.0
2025-08-04 19:27:02.153235+00:00,9924.644044637327
2025-08-04 20:27:02.153235+00:00,9897.926052414081
2025-08-04 21:27:02.153235+00:00,9928.279706104042
2025-08-04 22:27:02.153235+00:00,9981.2800006378
2025-08-04 23:27:02.153235+00:00,9973.920075724705
2025-08-05 00:27:02.153235+00:00,9940.394018893112
2025-08-05 01:27:02.153235+00:00,9894.401197010155
2025-08-05 02:27:02.153235+00:00,9866.587076170985
2025-08-05 03:27:02.153235+00:00,9900.580109457609
2025-08-05 04:27:02.153235+00:00,9944.006466309267
2025-08-05 05:27:02.153235+00:00,9948.27648208153
2025-08-05 06:27:02.153235+00:00,9956.683227966285
2025-08-05 07:27:02.153235+00:00,10027.839790369466
2025-08-05 08:27:02.153235+00:00,9983.426082458542
2025-08-05 09:27:02.153235+00:00,9975.10394800165
2025-08-05 10:27:02.153235+00:00,9920.356512303873
2025-08-05 11:27:02.153235+00:00,9949.347833193853
2025-08-05 12:27:02.153235+00:00,9967.50736451437
2025-08-05 13:27:02.153235+00:00,9978.605525580388
2025-08-05 14:27:02.153235+00:00,9973.4191833311
2025-08-05 15:27:02.153235+00:00,9995.567963283991
2025-08-05 16:27:02.153235+00:00,9993.727172204186
2025-08-05 17:27:02.153235+00:00,9917.457380796168
2025-08-05 18:27:02.153235+00:00,9852.409496855906
2025-08-05 19:27:02.153235+00:00,9776.409326947944
2025-08-05 20:27:02.153235+00:00,9776.409326947944
2025-08-05 21:27:02.153235+00:00,9776.409326947944
2025-08-05 22:27:02.153235+00:00,9776.409326947944
2025-08-05 23:27:02.153235+00:00,9776.409326947944
2025-08-06 00:27:02.153235+00:00,9776.409326947944
2025-08-06 01:27:02.153235+00:00,9776.409326947944
2025-08-06 02:27:02.153235+00:00,9776.409326947944
2025-08-06 03:27:02.153235+00:00,9776.409326947944
2025-08-06 04:27:02.153235+00:00,9776.409326947944
2025-08-06 05:27:02.153235+00:00,9776.409326947944
2025-08-06 06:27:02.153235+00:00,9776.409326947944
2025-08-06 07:27:02.153235+00:00,9776.409326947944
2025-08-06 08:27:02.153235+00:00,9776.409326947944
2025-08-06 09:27:02.153235+00:00,9776.409326947944
2025-08-06 10:27:02.153235+00:00,9776.409326947944
2025-08-06 11:27:02.153235+00:00,9776.409326947944
2025-08-06 12:27:02.153235+00:00,9776.409326947944
2025-08-06 13:27:02.153235+00:00,9776.409326947944
2025-08-06 14:27:02.153235+00:00,9776.409326947944
2025-08-06 15:27:02.153235+00:00,9776.409326947944
2025-08-06 16:27:02.153235+00:00,9776.409326947944
2025-08-06 17:27:02.153235+00:00,9776.409326947944
2025-08-06 18:27:02.153235+00:00,9776.409326947944
2025-08-06 19:27:02.153235+00:00,9776.409326947944
2025-08-06 20:27:02.153235+00:00,9776.409326947944
2025-08-06 21:27:02.153235+00:00,9776.409326947944
2025-08-06 22:27:02.153235+00:00,9781.478442704878
2025-08-06 23:27:02.153235+00:00,9921.255866046593
2025-08-07 00:27:02.153235+00:00,9920.57822725872
2025-08-07 01:27:02.153235+00:00,9886.516673442891
2025-08-07 02:27:02.153235+00:00,9860.221998281277
2025-08-07 03:27:02.153235+00:00,9900.284766486911
2025-08-07 04:27:02.153235+00:00,9931.78833148038
2025-08-07 05:27:02.153235+00:00,9973.192257165305
2025-08-07 06:27:02.153235+00:00,10026.027835859488
2025-08-07 07:27:02.153235+00:00,10026.659022492024
2025-08-07 08:27:02.153235+00:00,10010.10601278019
2025-08-07 09:27:02.153235+00:00,10020.528964051351
2025-08-07 10:27:02.153235+00:00,10060.694140986247
2025-08-07 11:27:02.153235+00:00,10058.468831016815
2025-08-07 12:27:02.153235+00:00,10045.865666822445
2025-08-07 13:27:02.153235+00:00,10045.412186453406
2025-08-07 14:27:02.153235+00:00,10094.25264657838
2025-08-07 15:27:02.153235+00:00,10057.062637603774
2025-08-07 16:27:02.153235+00:00,10068.939114958286
2025-08-07 17:27:02.153235+00:00,10109.409241791778
2025-08-07 18:27:02.153235+00:00,10063.364097395364
2025-08-07 19:27:02.153235+00:00,10048.039697945724
2025-08-07 20:27:02.153235+00:00,10003.093347934877
2025-08-07 21:27:02.153235+00:00,10029.828467783129
2025-08-07 22:27:02.153235+00:00,10056.191310672699
2025-08-07 23:27:02.153235+00:00,10083.218724211869
2025-08-08 00:27:02.153235+00:00,10120.652002079134
2025-08-08 01:27:02.153235+00:00,9991.665917635857
2025-08-08 02:27:02.153235+00:00,10001.62665578243
2025-08-08 03:27:02.153235+00:00,10010.473847571528
2025-08-08 04:27:02.153235+00:00,10046.531459978045
2025-08-08 05:27:02.153235+00:00,9968.025713240555
2025-08-08 06:27:02.153235+00:00,9932.107064154663
2025-08-08 07:27:02.153235+00:00,9891.8711847511
2025-08-08 08:27:02.153235+00:00,9891.8711847511
2025-08-08 09:27:02.153235+00:00,9891.8711847511
2025-08-08 10:27:02.153235+00:00,9891.8711847511
2025-08-08 11:27:02.153235+00:00,9891.8711847511
2025-08-08 12:27:02.153235+00:00,9891.8711847511
2025-08-08 13:27:02.153235+00:00,9891.8711847511
2025-08-08 14:27:02.153235+00:00,9891.8711847511
2025-08-08 15:27:02.153235+00:00,9891.8711847511
2025-08-08 16:27:02.153235+00:00,9891.8711847511
2025-08-08 17:27:02.153235+00:00,9891.8711847511
2025-08-08 18:27:02.153235+00:00,9891.8711847511
2025-08-08 19:27:02.153235+00:00,9891.8711847511
2025-08-08 20:27:02.153235+00:00,9891.8711847511
2025-08-08 21:27:02.153235+00:00,9891.8711847511
2025-08-08 22:27:02.153235+00:00,9891.8711847511
2025-08-08 23:27:02.153235+00:00,9891.8711847511
2025-08-09 00:27:02.153235+00:00,9891.8711847511
2025-08-09 01:27:02.153235+00:00,9891.8711847511
2025-08-09 02:27:02.153235+00:00,9891.8711847511
2025-08-09 03:27:02.153235+00:00,9891.8711847511
2025-08-09 04:27:02.153235+00:00,9891.8711847511
2025-08-09 05:27:02.153235+00:00,9891.8711847511
2025-08-09 06:27:02.153235+00:00,9891.8711847511
2025-08-09 07:27:02.153235+00:00,9891.8711847511
2025-08-09 08:27:02.153235+00:00,9891.8711847511
2025-08-09 09:27:02.153235+00:00,9891.8711847511
2025-08-09 10:27:02.153235+00:00,9891.8711847511
2025-08-09 11:27:02.153235+00:00,9891.8711847511
2025-08-09 12:27:02.153235+00:00,9891.8711847511
2025-08-09 13:27:02.153235+00:00,9891.8711847511
2025-08-09 14:27:02.153235+00:00,9891.8711847511
2025-08-09 15:27:02.153235+00:00,9891.8711847511
2025-08-09 16:27:02.153235+00:00,9891.8711847511
2025-08-09 17:27:02.153235+00:00,9891.8711847511
2025-08-09 18:27:02.153235+00:00,9891.8711847511
2025-08-09 19:27:02.153235+00:00,9891.8711847511
2025-08-09 20:27:02.153235+00:00,9891.8711847511
2025-08-09 21:27:02.153235+00:00,9891.8711847511
2025-08-09 22:27:02.153235+00:00,9891.8711847511
2025-08-09 23:27:02.153235+00:00,9891.8711847511
2025-08-10 00:27:02.153235+00:00,9891.8711847511
2025-08-10 01:27:02.153235+00:00,9839.539981426944
2025-08-10 02:27:02.153235+00:00,9862.359366476057
2025-08-10 03:27:02.153235+00:00,9832.741298591192
2025-08-10 04:27:02.153235+00:00,9794.940651827503
2025-08-10 05:27:02.153235+00:00,9824.427859723497
2025-08-10 06:27:02.153235+00:00,9815.293847287065
2025-08-10 07:27:02.153235+00:00,9771.442442564525
2025-08-10 08:27:02.153235+00:00,9778.285377222792
2025-08-10 09:27:02.153235+00:00,9785.618701612277
2025-08-10 10:27:02.153235+00:00,9778.811729187033
2025-08-10 11:27:02.153235+00:00,9779.82348228588
2025-08-10 12:27:02.153235+00:00,9732.899784955387
2025-08-10 13:27:02.153235+00:00,9733.985492986285
2025-08-10 14:27:02.153235+00:00,9776.65407153538
2025-08-10 15:27:02.153235+00:00,9786.638313413752
2025-08-10 16:27:02.153235+00:00,9786.638313413752
2025-08-10 17:27:02.153235+00:00,9786.638313413752
2025-08-10 18:27:02.153235+00:00,9786.638313413752
2025-08-10 19:27:02.153235+00:00,9803.334800288187
2025-08-10 20:27:02.153235+00:00,9729.4098705394
2025-08-10 21:27:02.153235+00:00,9695.42882400042
2025-08-10 22:27:02.153235+00:00,9677.155675392818
2025-08-10 23:27:02.153235+00:00,9708.54233759183
2025-08-11 00:27:02.153235+00:00,9706.437378300108
2025-08-11 01:27:02.153235+00:00,9690.692624473399
2025-08-11 02:27:02.153235+00:00,9713.111456919038
2025-08-11 03:27:02.153235+00:00,9680.879435882955
2025-08-11 04:27:02.153235+00:00,9646.938480632652
2025-08-11 05:27:02.153235+00:00,9595.719579786453
2025-08-11 06:27:02.153235+00:00,9604.44901886841
2025-08-11 07:27:02.153235+00:00,9604.44901886841
2025-08-11 08:27:02.153235+00:00,9604.44901886841
2025-08-11 09:27:02.153235+00:00,9604.44901886841
