,equity
2025-08-03 10:50:36.492658+00:00,10000.0
2025-08-03 11:50:36.492658+00:00,10000.0
2025-08-03 12:50:36.492658+00:00,10000.0
2025-08-03 13:50:36.492658+00:00,10000.0
2025-08-03 14:50:36.492658+00:00,10000.0
2025-08-03 15:50:36.492658+00:00,10000.0
2025-08-03 16:50:36.492658+00:00,10000.0
2025-08-03 17:50:36.492658+00:00,10000.0
2025-08-03 18:50:36.492658+00:00,10000.0
2025-08-03 19:50:36.492658+00:00,10000.0
2025-08-03 20:50:36.492658+00:00,10000.0
2025-08-03 21:50:36.492658+00:00,10000.0
2025-08-03 22:50:36.492658+00:00,10000.0
2025-08-03 23:50:36.492658+00:00,10000.0
2025-08-04 00:50:36.492658+00:00,10000.0
2025-08-04 01:50:36.492658+00:00,10000.0
2025-08-04 02:50:36.492658+00:00,10000.0
2025-08-04 03:50:36.492658+00:00,10000.0
2025-08-04 04:50:36.492658+00:00,10000.0
2025-08-04 05:50:36.492658+00:00,10000.0
2025-08-04 06:50:36.492658+00:00,10000.0
2025-08-04 07:50:36.492658+00:00,10000.0
2025-08-04 08:50:36.492658+00:00,10000.0
2025-08-04 09:50:36.492658+00:00,10000.0
2025-08-04 10:50:36.492658+00:00,10000.0
2025-08-04 11:50:36.492658+00:00,10000.0
2025-08-04 12:50:36.492658+00:00,10000.0
2025-08-04 13:50:36.492658+00:00,10000.0
2025-08-04 14:50:36.492658+00:00,10000.0
2025-08-04 15:50:36.492658+00:00,10000.0
2025-08-04 16:50:36.492658+00:00,10003.041701493936
2025-08-04 17:50:36.492658+00:00,10043.05883101125
2025-08-04 18:50:36.492658+00:00,10072.562717770015
2025-08-04 19:50:36.492658+00:00,10092.97693287183
2025-08-04 20:50:36.492658+00:00,10100.18636062212
2025-08-04 21:50:36.492658+00:00,10144.800966187044
2025-08-04 22:50:36.492658+00:00,10184.798421920123
2025-08-04 23:50:36.492658+00:00,10131.257743662367
2025-08-05 00:50:36.492658+00:00,10180.814167373825
2025-08-05 01:50:36.492658+00:00,10174.048751254939
2025-08-05 02:50:36.492658+00:00,10220.054352063335
2025-08-05 03:50:36.492658+00:00,10275.756842844308
2025-08-05 04:50:36.492658+00:00,10237.5945669441
2025-08-05 05:50:36.492658+00:00,10250.182214552879
2025-08-05 06:50:36.492658+00:00,10293.899121921871
2025-08-05 07:50:36.492658+00:00,10297.685247867661
2025-08-05 08:50:36.492658+00:00,10270.224970922285
2025-08-05 09:50:36.492658+00:00,10254.38886127577
2025-08-05 10:50:36.492658+00:00,10293.163889450057
2025-08-05 11:50:36.492658+00:00,10305.49968522708
2025-08-05 12:50:36.492658+00:00,10290.107649208427
2025-08-05 13:50:36.492658+00:00,10326.036499875823
2025-08-05 14:50:36.492658+00:00,10300.781417677452
2025-08-05 15:50:36.492658+00:00,10363.982415424225
2025-08-05 16:50:36.492658+00:00,10377.6122075944
2025-08-05 17:50:36.492658+00:00,10293.207878381201
2025-08-05 18:50:36.492658+00:00,10257.630818894419
2025-08-05 19:50:36.492658+00:00,10228.09301784739
2025-08-05 20:50:36.492658+00:00,10318.492740297695
2025-08-05 21:50:36.492658+00:00,10318.752256272317
2025-08-05 22:50:36.492658+00:00,10304.832053892147
2025-08-05 23:50:36.492658+00:00,10309.259281800003
2025-08-06 00:50:36.492658+00:00,10295.667459414468
2025-08-06 01:50:36.492658+00:00,10287.691929098795
2025-08-06 02:50:36.492658+00:00,10304.823150799952
2025-08-06 03:50:36.492658+00:00,10340.405855797968
2025-08-06 04:50:36.492658+00:00,10304.400670520236
2025-08-06 05:50:36.492658+00:00,10286.728316303988
2025-08-06 06:50:36.492658+00:00,10284.13225765454
2025-08-06 07:50:36.492658+00:00,10244.325634938621
2025-08-06 08:50:36.492658+00:00,10205.552259275539
2025-08-06 09:50:36.492658+00:00,10205.552259275539
2025-08-06 10:50:36.492658+00:00,10205.552259275539
2025-08-06 11:50:36.492658+00:00,10205.552259275539
2025-08-06 12:50:36.492658+00:00,10205.552259275539
2025-08-06 13:50:36.492658+00:00,10205.552259275539
2025-08-06 14:50:36.492658+00:00,10205.552259275539
2025-08-06 15:50:36.492658+00:00,10205.552259275539
2025-08-06 16:50:36.492658+00:00,10205.552259275539
2025-08-06 17:50:36.492658+00:00,10205.552259275539
2025-08-06 18:50:36.492658+00:00,10205.552259275539
2025-08-06 19:50:36.492658+00:00,10205.552259275539
2025-08-06 20:50:36.492658+00:00,10205.552259275539
2025-08-06 21:50:36.492658+00:00,10205.552259275539
2025-08-06 22:50:36.492658+00:00,10205.552259275539
2025-08-06 23:50:36.492658+00:00,10205.552259275539
2025-08-07 00:50:36.492658+00:00,10205.552259275539
2025-08-07 01:50:36.492658+00:00,10205.552259275539
2025-08-07 02:50:36.492658+00:00,10205.552259275539
2025-08-07 03:50:36.492658+00:00,10205.552259275539
2025-08-07 04:50:36.492658+00:00,10205.552259275539
2025-08-07 05:50:36.492658+00:00,10205.552259275539
2025-08-07 06:50:36.492658+00:00,10205.552259275539
2025-08-07 07:50:36.492658+00:00,10205.552259275539
2025-08-07 08:50:36.492658+00:00,10205.552259275539
2025-08-07 09:50:36.492658+00:00,10205.552259275539
2025-08-07 10:50:36.492658+00:00,10205.552259275539
2025-08-07 11:50:36.492658+00:00,10205.552259275539
2025-08-07 12:50:36.492658+00:00,10205.552259275539
2025-08-07 13:50:36.492658+00:00,10205.552259275539
2025-08-07 14:50:36.492658+00:00,10219.959865172974
2025-08-07 15:50:36.492658+00:00,10159.358720058945
2025-08-07 16:50:36.492658+00:00,10103.217851769063
2025-08-07 17:50:36.492658+00:00,10120.595211579983
2025-08-07 18:50:36.492658+00:00,10161.741989235477
2025-08-07 19:50:36.492658+00:00,10116.618861700788
2025-08-07 20:50:36.492658+00:00,10192.61509198624
2025-08-07 21:50:36.492658+00:00,10188.075691895598
2025-08-07 22:50:36.492658+00:00,10215.45169141839
2025-08-07 23:50:36.492658+00:00,10222.543196576673
2025-08-08 00:50:36.492658+00:00,10219.588225189875
2025-08-08 01:50:36.492658+00:00,10259.755334713567
2025-08-08 02:50:36.492658+00:00,10163.235895649816
2025-08-08 03:50:36.492658+00:00,10197.373516562538
2025-08-08 04:50:36.492658+00:00,10171.891072715129
2025-08-08 05:50:36.492658+00:00,10175.269805730997
