,returns
2025-08-03 10:56:32.798181+00:00,0.0
2025-08-03 11:56:32.798181+00:00,-0.0
2025-08-03 12:56:32.798181+00:00,-0.0
2025-08-03 13:56:32.798181+00:00,0.0
2025-08-03 14:56:32.798181+00:00,0.0
2025-08-03 15:56:32.798181+00:00,-0.0
2025-08-03 16:56:32.798181+00:00,0.0
2025-08-03 17:56:32.798181+00:00,0.0
2025-08-03 18:56:32.798181+00:00,-0.0
2025-08-03 19:56:32.798181+00:00,0.0
2025-08-03 20:56:32.798181+00:00,-0.0
2025-08-03 21:56:32.798181+00:00,0.0
2025-08-03 22:56:32.798181+00:00,-0.0
2025-08-03 23:56:32.798181+00:00,0.0
2025-08-04 00:56:32.798181+00:00,-0.0
2025-08-04 01:56:32.798181+00:00,0.0
2025-08-04 02:56:32.798181+00:00,-0.0
2025-08-04 03:56:32.798181+00:00,0.0
2025-08-04 04:56:32.798181+00:00,-0.0
2025-08-04 05:56:32.798181+00:00,0.0
2025-08-04 06:56:32.798181+00:00,0.0
2025-08-04 07:56:32.798181+00:00,0.0
2025-08-04 08:56:32.798181+00:00,-0.0
2025-08-04 09:56:32.798181+00:00,0.0
2025-08-04 10:56:32.798181+00:00,-0.0
2025-08-04 11:56:32.798181+00:00,-0.0
2025-08-04 12:56:32.798181+00:00,-0.0
2025-08-04 13:56:32.798181+00:00,-0.0
2025-08-04 14:56:32.798181+00:00,-0.0
2025-08-04 15:56:32.798181+00:00,-0.0
2025-08-04 16:56:32.798181+00:00,0.0
2025-08-04 17:56:32.798181+00:00,-0.0
2025-08-04 18:56:32.798181+00:00,-0.0
2025-08-04 19:56:32.798181+00:00,-0.0
2025-08-04 20:56:32.798181+00:00,-0.0
2025-08-04 21:56:32.798181+00:00,-0.0
2025-08-04 22:56:32.798181+00:00,-0.0
2025-08-04 23:56:32.798181+00:00,0.0
2025-08-05 00:56:32.798181+00:00,0.0
2025-08-05 01:56:32.798181+00:00,0.0
2025-08-05 02:56:32.798181+00:00,-0.0
2025-08-05 03:56:32.798181+00:00,-0.0
2025-08-05 04:56:32.798181+00:00,0.0
2025-08-05 05:56:32.798181+00:00,0.0
2025-08-05 06:56:32.798181+00:00,-0.0
2025-08-05 07:56:32.798181+00:00,0.0
2025-08-05 08:56:32.798181+00:00,0.0
2025-08-05 09:56:32.798181+00:00,-0.0
2025-08-05 10:56:32.798181+00:00,-0.0
2025-08-05 11:56:32.798181+00:00,-0.0
2025-08-05 12:56:32.798181+00:00,-0.0
2025-08-05 13:56:32.798181+00:00,0.0
2025-08-05 14:56:32.798181+00:00,-0.0
2025-08-05 15:56:32.798181+00:00,-0.0
2025-08-05 16:56:32.798181+00:00,0.0
2025-08-05 17:56:32.798181+00:00,0.0
2025-08-05 18:56:32.798181+00:00,0.0
2025-08-05 19:56:32.798181+00:00,0.0
2025-08-05 20:56:32.798181+00:00,0.0
2025-08-05 21:56:32.798181+00:00,0.0
2025-08-05 22:56:32.798181+00:00,0.0
2025-08-05 23:56:32.798181+00:00,-0.0
2025-08-06 00:56:32.798181+00:00,0.0
2025-08-06 01:56:32.798181+00:00,-0.0
2025-08-06 02:56:32.798181+00:00,-0.0
2025-08-06 03:56:32.798181+00:00,0.0
2025-08-06 04:56:32.798181+00:00,0.0
2025-08-06 05:56:32.798181+00:00,0.0
2025-08-06 06:56:32.798181+00:00,0.0
2025-08-06 07:56:32.798181+00:00,-0.0
2025-08-06 08:56:32.798181+00:00,-0.0
2025-08-06 09:56:32.798181+00:00,0.0
2025-08-06 10:56:32.798181+00:00,0.0
2025-08-06 11:56:32.798181+00:00,-0.0
2025-08-06 12:56:32.798181+00:00,-0.0
2025-08-06 13:56:32.798181+00:00,0.0
2025-08-06 14:56:32.798181+00:00,0.0
2025-08-06 15:56:32.798181+00:00,-0.0023292840139351807
2025-08-06 16:56:32.798181+00:00,0.0007934863466267927
2025-08-06 17:56:32.798181+00:00,0.005592172760420011
2025-08-06 18:56:32.798181+00:00,0.0026566971835870756
2025-08-06 19:56:32.798181+00:00,0.0022512975565720517
2025-08-06 20:56:32.798181+00:00,0.0014156477528790568
2025-08-06 21:56:32.798181+00:00,-0.003112740531643343
2025-08-06 22:56:32.798181+00:00,-0.001346864179464613
2025-08-06 23:56:32.798181+00:00,-0.0029243103953178196
2025-08-07 00:56:32.798181+00:00,-0.0038841621477117005
2025-08-07 01:56:32.798181+00:00,0.003494274699038291
2025-08-07 02:56:32.798181+00:00,-0.004940555751849485
2025-08-07 03:56:32.798181+00:00,-0.0037365217331583045
2025-08-07 04:56:32.798181+00:00,-0.00045309122433223603
2025-08-07 05:56:32.798181+00:00,0.0
2025-08-07 06:56:32.798181+00:00,0.0
2025-08-07 07:56:32.798181+00:00,0.00396188365143213
2025-08-07 08:56:32.798181+00:00,0.0
2025-08-07 09:56:32.798181+00:00,0.0
2025-08-07 10:56:32.798181+00:00,0.0
2025-08-07 11:56:32.798181+00:00,-0.0
2025-08-07 12:56:32.798181+00:00,0.0
2025-08-07 13:56:32.798181+00:00,0.0
2025-08-07 14:56:32.798181+00:00,-0.0
2025-08-07 15:56:32.798181+00:00,0.0
2025-08-07 16:56:32.798181+00:00,-0.0
2025-08-07 17:56:32.798181+00:00,0.0
2025-08-07 18:56:32.798181+00:00,0.0
2025-08-07 19:56:32.798181+00:00,-0.0012369726624920057
2025-08-07 20:56:32.798181+00:00,0.0016765656082202707
2025-08-07 21:56:32.798181+00:00,0.00819946270337124
