,equity
2025-08-03 14:25:52.287024+00:00,10000.0
2025-08-03 15:25:52.287024+00:00,10000.0
2025-08-03 16:25:52.287024+00:00,10000.0
2025-08-03 17:25:52.287024+00:00,10000.0
2025-08-03 18:25:52.287024+00:00,10000.0
2025-08-03 19:25:52.287024+00:00,10000.0
2025-08-03 20:25:52.287024+00:00,10000.0
2025-08-03 21:25:52.287024+00:00,10000.0
2025-08-03 22:25:52.287024+00:00,10000.0
2025-08-03 23:25:52.287024+00:00,10000.0
2025-08-04 00:25:52.287024+00:00,10000.0
2025-08-04 01:25:52.287024+00:00,10000.0
2025-08-04 02:25:52.287024+00:00,10000.0
2025-08-04 03:25:52.287024+00:00,10000.0
2025-08-04 04:25:52.287024+00:00,10000.0
2025-08-04 05:25:52.287024+00:00,10000.0
2025-08-04 06:25:52.287024+00:00,10000.0
2025-08-04 07:25:52.287024+00:00,10000.0
2025-08-04 08:25:52.287024+00:00,10000.0
2025-08-04 09:25:52.287024+00:00,10000.0
2025-08-04 10:25:52.287024+00:00,10000.0
2025-08-04 11:25:52.287024+00:00,10000.0
2025-08-04 12:25:52.287024+00:00,10000.0
2025-08-04 13:25:52.287024+00:00,10000.0
2025-08-04 14:25:52.287024+00:00,10000.0
2025-08-04 15:25:52.287024+00:00,10000.0
2025-08-04 16:25:52.287024+00:00,10000.0
2025-08-04 17:25:52.287024+00:00,10000.0
2025-08-04 18:25:52.287024+00:00,10000.0
2025-08-04 19:25:52.287024+00:00,10000.0
2025-08-04 20:25:52.287024+00:00,10000.0
2025-08-04 21:25:52.287024+00:00,10000.0
2025-08-04 22:25:52.287024+00:00,10000.0
2025-08-04 23:25:52.287024+00:00,10000.0
2025-08-05 00:25:52.287024+00:00,10000.0
2025-08-05 01:25:52.287024+00:00,10000.0
2025-08-05 02:25:52.287024+00:00,10000.0
2025-08-05 03:25:52.287024+00:00,10000.0
2025-08-05 04:25:52.287024+00:00,10000.0
2025-08-05 05:25:52.287024+00:00,10000.0
2025-08-05 06:25:52.287024+00:00,10000.0
2025-08-05 07:25:52.287024+00:00,10000.0
2025-08-05 08:25:52.287024+00:00,10000.0
2025-08-05 09:25:52.287024+00:00,10000.0
2025-08-05 10:25:52.287024+00:00,10061.210230594288
2025-08-05 11:25:52.287024+00:00,10063.765411309576
2025-08-05 12:25:52.287024+00:00,10067.708853625092
2025-08-05 13:25:52.287024+00:00,9997.785905508987
2025-08-05 14:25:52.287024+00:00,9981.98950130668
2025-08-05 15:25:52.287024+00:00,9970.694850680076
2025-08-05 16:25:52.287024+00:00,10004.291957857176
2025-08-05 17:25:52.287024+00:00,10053.208512042538
2025-08-05 18:25:52.287024+00:00,10025.070719272711
2025-08-05 19:25:52.287024+00:00,10071.283795959953
2025-08-05 20:25:52.287024+00:00,10060.358926903495
2025-08-05 21:25:52.287024+00:00,10058.796798372254
2025-08-05 22:25:52.287024+00:00,10104.26130753856
2025-08-05 23:25:52.287024+00:00,10151.21746504629
2025-08-06 00:25:52.287024+00:00,10195.652859522066
2025-08-06 01:25:52.287024+00:00,10201.582718572376
2025-08-06 02:25:52.287024+00:00,10164.741826801515
2025-08-06 03:25:52.287024+00:00,10209.666671407704
2025-08-06 04:25:52.287024+00:00,10241.023379861701
2025-08-06 05:25:52.287024+00:00,10250.124555956925
2025-08-06 06:25:52.287024+00:00,10289.557403303648
2025-08-06 07:25:52.287024+00:00,10260.650438561277
2025-08-06 08:25:52.287024+00:00,10281.41582375313
2025-08-06 09:25:52.287024+00:00,10275.60693769881
2025-08-06 10:25:52.287024+00:00,10194.608668567724
2025-08-06 11:25:52.287024+00:00,10211.153933326175
2025-08-06 12:25:52.287024+00:00,10172.530239532553
2025-08-06 13:25:52.287024+00:00,10127.954675309378
2025-08-06 14:25:52.287024+00:00,10140.820350721318
2025-08-06 15:25:52.287024+00:00,10102.071390212395
2025-08-06 16:25:52.287024+00:00,10137.586087057392
2025-08-06 17:25:52.287024+00:00,10122.80622929249
2025-08-06 18:25:52.287024+00:00,10142.003842941249
2025-08-06 19:25:52.287024+00:00,10136.849563392176
2025-08-06 20:25:52.287024+00:00,10187.499438258645
2025-08-06 21:25:52.287024+00:00,10187.499438258645
2025-08-06 22:25:52.287024+00:00,10187.499438258645
2025-08-06 23:25:52.287024+00:00,10187.499438258645
2025-08-07 00:25:52.287024+00:00,10210.874004355817
2025-08-07 01:25:52.287024+00:00,10221.490702103161
2025-08-07 02:25:52.287024+00:00,10244.621034478107
2025-08-07 03:25:52.287024+00:00,10253.770678714203
2025-08-07 04:25:52.287024+00:00,10232.107989838309
2025-08-07 05:25:52.287024+00:00,10250.761662034789
2025-08-07 06:25:52.287024+00:00,10271.527568748888
2025-08-07 07:25:52.287024+00:00,10219.257529945267
2025-08-07 08:25:52.287024+00:00,10185.379410587318
2025-08-07 09:25:52.287024+00:00,10168.597162789094
2025-08-07 10:25:52.287024+00:00,10213.35870103512
2025-08-07 11:25:52.287024+00:00,10235.11843338513
2025-08-07 12:25:52.287024+00:00,10212.644062346284
2025-08-07 13:25:52.287024+00:00,10252.660307615628
2025-08-07 14:25:52.287024+00:00,10239.998260439808
2025-08-07 15:25:52.287024+00:00,10195.230389483628
2025-08-07 16:25:52.287024+00:00,10248.972480289205
2025-08-07 17:25:52.287024+00:00,10213.426618783153
2025-08-07 18:25:52.287024+00:00,10246.800536700643
2025-08-07 19:25:52.287024+00:00,10245.713354754653
2025-08-07 20:25:52.287024+00:00,10192.278645386623
2025-08-07 21:25:52.287024+00:00,10201.848791296052
2025-08-07 22:25:52.287024+00:00,10138.247953256292
2025-08-07 23:25:52.287024+00:00,10124.16133175922
2025-08-08 00:25:52.287024+00:00,10124.16133175922
2025-08-08 01:25:52.287024+00:00,10124.16133175922
2025-08-08 02:25:52.287024+00:00,10124.16133175922
2025-08-08 03:25:52.287024+00:00,10124.16133175922
2025-08-08 04:25:52.287024+00:00,10124.16133175922
2025-08-08 05:25:52.287024+00:00,10124.16133175922
2025-08-08 06:25:52.287024+00:00,10124.16133175922
2025-08-08 07:25:52.287024+00:00,10124.16133175922
2025-08-08 08:25:52.287024+00:00,10124.16133175922
2025-08-08 09:25:52.287024+00:00,10124.16133175922
2025-08-08 10:25:52.287024+00:00,10124.16133175922
2025-08-08 11:25:52.287024+00:00,10124.16133175922
2025-08-08 12:25:52.287024+00:00,10124.16133175922
2025-08-08 13:25:52.287024+00:00,10124.16133175922
2025-08-08 14:25:52.287024+00:00,10124.16133175922
2025-08-08 15:25:52.287024+00:00,10124.16133175922
2025-08-08 16:25:52.287024+00:00,10124.16133175922
2025-08-08 17:25:52.287024+00:00,10119.207631525513
2025-08-08 18:25:52.287024+00:00,10099.26197530053
2025-08-08 19:25:52.287024+00:00,10032.688426131046
2025-08-08 20:25:52.287024+00:00,10017.264570526204
2025-08-08 21:25:52.287024+00:00,10059.171247866256
2025-08-08 22:25:52.287024+00:00,10036.356726603355
2025-08-08 23:25:52.287024+00:00,10045.498681124698
2025-08-09 00:25:52.287024+00:00,10045.498681124698
2025-08-09 01:25:52.287024+00:00,10045.498681124698
2025-08-09 02:25:52.287024+00:00,10045.498681124698
2025-08-09 03:25:52.287024+00:00,10045.498681124698
2025-08-09 04:25:52.287024+00:00,10045.498681124698
2025-08-09 05:25:52.287024+00:00,10045.498681124698
2025-08-09 06:25:52.287024+00:00,10045.498681124698
