,returns
2025-08-03 10:45:35.529016+00:00,0.0
2025-08-03 11:45:35.529016+00:00,-0.0
2025-08-03 12:45:35.529016+00:00,-0.0
2025-08-03 13:45:35.529016+00:00,0.0
2025-08-03 14:45:35.529016+00:00,-0.0
2025-08-03 15:45:35.529016+00:00,-0.0
2025-08-03 16:45:35.529016+00:00,-0.0
2025-08-03 17:45:35.529016+00:00,0.0
2025-08-03 18:45:35.529016+00:00,0.0
2025-08-03 19:45:35.529016+00:00,0.0
2025-08-03 20:45:35.529016+00:00,0.0
2025-08-03 21:45:35.529016+00:00,-0.0
2025-08-03 22:45:35.529016+00:00,0.0
2025-08-03 23:45:35.529016+00:00,-0.0
2025-08-04 00:45:35.529016+00:00,-0.0
2025-08-04 01:45:35.529016+00:00,0.0
2025-08-04 02:45:35.529016+00:00,0.0
2025-08-04 03:45:35.529016+00:00,0.0
2025-08-04 04:45:35.529016+00:00,0.0
2025-08-04 05:45:35.529016+00:00,-0.0
2025-08-04 06:45:35.529016+00:00,-0.0
2025-08-04 07:45:35.529016+00:00,0.0
2025-08-04 08:45:35.529016+00:00,-0.0
2025-08-04 09:45:35.529016+00:00,-0.0
2025-08-04 10:45:35.529016+00:00,0.0
2025-08-04 11:45:35.529016+00:00,0.0
2025-08-04 12:45:35.529016+00:00,0.0
2025-08-04 13:45:35.529016+00:00,-0.0
2025-08-04 14:45:35.529016+00:00,-0.0
2025-08-04 15:45:35.529016+00:00,0.0
2025-08-04 16:45:35.529016+00:00,-4.827693497086402e-06
2025-08-04 17:45:35.529016+00:00,0.005241932962809948
2025-08-04 18:45:35.529016+00:00,0.004172762115239204
2025-08-04 19:45:35.529016+00:00,-0.004273240204160644
2025-08-04 20:45:35.529016+00:00,-0.0034383519854026545
2025-08-04 21:45:35.529016+00:00,-0.006338591043884012
2025-08-04 22:45:35.529016+00:00,-0.003943142299812519
2025-08-04 23:45:35.529016+00:00,0.00935142548332002
2025-08-05 00:45:35.529016+00:00,-0.004160669705433828
2025-08-05 01:45:35.529016+00:00,-0.0036227353588693667
2025-08-05 02:45:35.529016+00:00,0.0016793872567615331
2025-08-05 03:45:35.529016+00:00,-0.0010678037053868383
2025-08-05 04:45:35.529016+00:00,-0.001091398417083722
2025-08-05 05:45:35.529016+00:00,0.0
2025-08-05 06:45:35.529016+00:00,0.0
2025-08-05 07:45:35.529016+00:00,-0.0
2025-08-05 08:45:35.529016+00:00,0.0
2025-08-05 09:45:35.529016+00:00,-0.0
2025-08-05 10:45:35.529016+00:00,0.0
2025-08-05 11:45:35.529016+00:00,0.0
2025-08-05 12:45:35.529016+00:00,0.0
2025-08-05 13:45:35.529016+00:00,-0.0
2025-08-05 14:45:35.529016+00:00,-0.0
2025-08-05 15:45:35.529016+00:00,-0.0
2025-08-05 16:45:35.529016+00:00,-0.002836251413079377
2025-08-05 17:45:35.529016+00:00,-0.0031901056522273263
2025-08-05 18:45:35.529016+00:00,0.004236852260002033
2025-08-05 19:45:35.529016+00:00,0.001735055154643117
2025-08-05 20:45:35.529016+00:00,0.005003831629060818
2025-08-05 21:45:35.529016+00:00,0.0054414491345184945
2025-08-05 22:45:35.529016+00:00,-0.0023276942805386946
2025-08-05 23:45:35.529016+00:00,0.0006728209356523518
2025-08-06 00:45:35.529016+00:00,0.000828139098159264
2025-08-06 01:45:35.529016+00:00,0.004553410316082029
2025-08-06 02:45:35.529016+00:00,0.0008073643533388353
2025-08-06 03:45:35.529016+00:00,-0.001317381530875128
2025-08-06 04:45:35.529016+00:00,-0.0029533057359444337
2025-08-06 05:45:35.529016+00:00,-0.004293792901271853
2025-08-06 06:45:35.529016+00:00,-0.0036049879834634257
2025-08-06 07:45:35.529016+00:00,0.0031768352531795774
2025-08-06 08:45:35.529016+00:00,0.00653662242242703
2025-08-06 09:45:35.529016+00:00,-0.0076914868874597975
2025-08-06 10:45:35.529016+00:00,0.0003473465445589241
2025-08-06 11:45:35.529016+00:00,-0.0009451590279098143
2025-08-06 12:45:35.529016+00:00,-0.0036699389846448494
2025-08-06 13:45:35.529016+00:00,-0.0009309276382594156
2025-08-06 14:45:35.529016+00:00,0.0060947181591526345
2025-08-06 15:45:35.529016+00:00,2.718060390005661e-05
2025-08-06 16:45:35.529016+00:00,-0.0
2025-08-06 17:45:35.529016+00:00,0.0012148290857556105
2025-08-06 18:45:35.529016+00:00,-0.0032496620160800127
2025-08-06 19:45:35.529016+00:00,-0.0
2025-08-06 20:45:35.529016+00:00,-0.006372258945866726
2025-08-06 21:45:35.529016+00:00,-0.006677267539733411
2025-08-06 22:45:35.529016+00:00,-0.0
2025-08-06 23:45:35.529016+00:00,0.0
2025-08-07 00:45:35.529016+00:00,-0.0
2025-08-07 01:45:35.529016+00:00,0.0
2025-08-07 02:45:35.529016+00:00,-0.0
2025-08-07 03:45:35.529016+00:00,-0.0
2025-08-07 04:45:35.529016+00:00,-0.0
2025-08-07 05:45:35.529016+00:00,0.0
2025-08-07 06:45:35.529016+00:00,0.0
2025-08-07 07:45:35.529016+00:00,0.0
2025-08-07 08:45:35.529016+00:00,0.0
2025-08-07 09:45:35.529016+00:00,0.0
2025-08-07 10:45:35.529016+00:00,-0.0
2025-08-07 11:45:35.529016+00:00,-0.0
2025-08-07 12:45:35.529016+00:00,-0.0
2025-08-07 13:45:35.529016+00:00,-0.0
2025-08-07 14:45:35.529016+00:00,0.0
2025-08-07 15:45:35.529016+00:00,0.0
2025-08-07 16:45:35.529016+00:00,0.0
2025-08-07 17:45:35.529016+00:00,-0.0
2025-08-07 18:45:35.529016+00:00,0.0
2025-08-07 19:45:35.529016+00:00,-0.0
2025-08-07 20:45:35.529016+00:00,0.0
2025-08-07 21:45:35.529016+00:00,-0.0
2025-08-07 22:45:35.529016+00:00,0.0
