,equity
2025-08-03 14:40:15.100409+00:00,10000.0
2025-08-03 15:40:15.100409+00:00,10000.0
2025-08-03 16:40:15.100409+00:00,10000.0
2025-08-03 17:40:15.100409+00:00,10000.0
2025-08-03 18:40:15.100409+00:00,10000.0
2025-08-03 19:40:15.100409+00:00,10000.0
2025-08-03 20:40:15.100409+00:00,10000.0
2025-08-03 21:40:15.100409+00:00,10000.0
2025-08-03 22:40:15.100409+00:00,10000.0
2025-08-03 23:40:15.100409+00:00,10000.0
2025-08-04 00:40:15.100409+00:00,10000.0
2025-08-04 01:40:15.100409+00:00,10000.0
2025-08-04 02:40:15.100409+00:00,10000.0
2025-08-04 03:40:15.100409+00:00,10000.0
2025-08-04 04:40:15.100409+00:00,10000.0
2025-08-04 05:40:15.100409+00:00,10000.0
2025-08-04 06:40:15.100409+00:00,10000.0
2025-08-04 07:40:15.100409+00:00,10000.0
2025-08-04 08:40:15.100409+00:00,10000.0
2025-08-04 09:40:15.100409+00:00,10000.0
2025-08-04 10:40:15.100409+00:00,10000.0
2025-08-04 11:40:15.100409+00:00,10000.0
2025-08-04 12:40:15.100409+00:00,10000.0
2025-08-04 13:40:15.100409+00:00,10000.0
2025-08-04 14:40:15.100409+00:00,10000.0
2025-08-04 15:40:15.100409+00:00,10000.0
2025-08-04 16:40:15.100409+00:00,10000.0
2025-08-04 17:40:15.100409+00:00,10000.0
2025-08-04 18:40:15.100409+00:00,10000.0
2025-08-04 19:40:15.100409+00:00,10000.0
2025-08-04 20:40:15.100409+00:00,9994.470616783756
2025-08-04 21:40:15.100409+00:00,9905.360578789347
2025-08-04 22:40:15.100409+00:00,9903.957835786097
2025-08-04 23:40:15.100409+00:00,9950.240110994573
2025-08-05 00:40:15.100409+00:00,10025.145762971288
2025-08-05 01:40:15.100409+00:00,10068.013338124654
2025-08-05 02:40:15.100409+00:00,10119.134727121429
2025-08-05 03:40:15.100409+00:00,10121.452166664874
2025-08-05 04:40:15.100409+00:00,10184.829303359007
2025-08-05 05:40:15.100409+00:00,10218.8587736122
2025-08-05 06:40:15.100409+00:00,10185.157135430138
2025-08-05 07:40:15.100409+00:00,10188.043385948988
2025-08-05 08:40:15.100409+00:00,10171.32635131559
2025-08-05 09:40:15.100409+00:00,10199.539041725668
2025-08-05 10:40:15.100409+00:00,10216.228292222419
2025-08-05 11:40:15.100409+00:00,10207.029438465484
2025-08-05 12:40:15.100409+00:00,10288.177470659215
2025-08-05 13:40:15.100409+00:00,10297.133307478718
2025-08-05 14:40:15.100409+00:00,10299.400253902759
2025-08-05 15:40:15.100409+00:00,10285.09599106238
2025-08-05 16:40:15.100409+00:00,10283.42613931221
2025-08-05 17:40:15.100409+00:00,10258.396185706535
2025-08-05 18:40:15.100409+00:00,10198.69225895724
2025-08-05 19:40:15.100409+00:00,10227.555449382793
2025-08-05 20:40:15.100409+00:00,10292.327314861244
2025-08-05 21:40:15.100409+00:00,10354.97350162865
2025-08-05 22:40:15.100409+00:00,10286.28153428474
2025-08-05 23:40:15.100409+00:00,10336.614403073
2025-08-06 00:40:15.100409+00:00,10287.993009278465
2025-08-06 01:40:15.100409+00:00,10290.43908181443
2025-08-06 02:40:15.100409+00:00,10285.435272518896
2025-08-06 03:40:15.100409+00:00,10301.880156834519
2025-08-06 04:40:15.100409+00:00,10362.47792398043
2025-08-06 05:40:15.100409+00:00,10273.813622560489
2025-08-06 06:40:15.100409+00:00,10318.24371338136
2025-08-06 07:40:15.100409+00:00,10330.598680987085
2025-08-06 08:40:15.100409+00:00,10289.881624786502
2025-08-06 09:40:15.100409+00:00,10225.377630161891
2025-08-06 10:40:15.100409+00:00,10264.648895066235
2025-08-06 11:40:15.100409+00:00,10221.432103777788
2025-08-06 12:40:15.100409+00:00,10217.863131011882
2025-08-06 13:40:15.100409+00:00,10252.327643533614
2025-08-06 14:40:15.100409+00:00,10202.806289076405
2025-08-06 15:40:15.100409+00:00,10202.806289076405
2025-08-06 16:40:15.100409+00:00,10202.806289076405
2025-08-06 17:40:15.100409+00:00,10202.806289076405
2025-08-06 18:40:15.100409+00:00,10202.806289076405
2025-08-06 19:40:15.100409+00:00,10202.806289076405
2025-08-06 20:40:15.100409+00:00,10202.806289076405
2025-08-06 21:40:15.100409+00:00,10202.806289076405
2025-08-06 22:40:15.100409+00:00,10202.806289076405
2025-08-06 23:40:15.100409+00:00,10202.806289076405
2025-08-07 00:40:15.100409+00:00,10202.806289076405
2025-08-07 01:40:15.100409+00:00,10202.806289076405
2025-08-07 02:40:15.100409+00:00,10202.806289076405
2025-08-07 03:40:15.100409+00:00,10202.806289076405
2025-08-07 04:40:15.100409+00:00,10202.806289076405
2025-08-07 05:40:15.100409+00:00,10224.650001664104
2025-08-07 06:40:15.100409+00:00,10195.039219482378
2025-08-07 07:40:15.100409+00:00,10225.464664262789
2025-08-07 08:40:15.100409+00:00,10286.40406174495
2025-08-07 09:40:15.100409+00:00,10274.406507845024
2025-08-07 10:40:15.100409+00:00,10265.057025710415
2025-08-07 11:40:15.100409+00:00,10232.23478060408
2025-08-07 12:40:15.100409+00:00,10287.632486803306
2025-08-07 13:40:15.100409+00:00,10317.587997482215
2025-08-07 14:40:15.100409+00:00,10347.004372671825
2025-08-07 15:40:15.100409+00:00,10410.037792741578
2025-08-07 16:40:15.100409+00:00,10454.354832808614
2025-08-07 17:40:15.100409+00:00,10454.81941694551
