,returns
2025-08-03 20:46:40.809846+00:00,0.0
2025-08-03 21:46:40.809846+00:00,0.0
2025-08-03 22:46:40.809846+00:00,0.0
2025-08-03 23:46:40.809846+00:00,0.0
2025-08-04 00:46:40.809846+00:00,0.0
2025-08-04 01:46:40.809846+00:00,-0.0
2025-08-04 02:46:40.809846+00:00,0.0
2025-08-04 03:46:40.809846+00:00,-0.0
2025-08-04 04:46:40.809846+00:00,-0.0
2025-08-04 05:46:40.809846+00:00,0.0
2025-08-04 06:46:40.809846+00:00,-0.0
2025-08-04 07:46:40.809846+00:00,0.0
2025-08-04 08:46:40.809846+00:00,-0.0
2025-08-04 09:46:40.809846+00:00,-0.0
2025-08-04 10:46:40.809846+00:00,-0.0
2025-08-04 11:46:40.809846+00:00,0.0
2025-08-04 12:46:40.809846+00:00,0.0
2025-08-04 13:46:40.809846+00:00,-0.0
2025-08-04 14:46:40.809846+00:00,0.0
2025-08-04 15:46:40.809846+00:00,-0.0
2025-08-04 16:46:40.809846+00:00,-0.0
2025-08-04 17:46:40.809846+00:00,0.0
2025-08-04 18:46:40.809846+00:00,0.0
2025-08-04 19:46:40.809846+00:00,-0.0
2025-08-04 20:46:40.809846+00:00,-0.0010490583522653053
2025-08-04 21:46:40.809846+00:00,0.001082336223853897
2025-08-04 22:46:40.809846+00:00,-0.0
2025-08-04 23:46:40.809846+00:00,0.0
2025-08-05 00:46:40.809846+00:00,0.0
2025-08-05 01:46:40.809846+00:00,0.0
2025-08-05 02:46:40.809846+00:00,0.0
2025-08-05 03:46:40.809846+00:00,0.0
2025-08-05 04:46:40.809846+00:00,0.0
2025-08-05 05:46:40.809846+00:00,0.0
2025-08-05 06:46:40.809846+00:00,0.0
2025-08-05 07:46:40.809846+00:00,0.0
2025-08-05 08:46:40.809846+00:00,0.0
2025-08-05 09:46:40.809846+00:00,0.0
2025-08-05 10:46:40.809846+00:00,0.0
2025-08-05 11:46:40.809846+00:00,0.0
2025-08-05 12:46:40.809846+00:00,0.0
2025-08-05 13:46:40.809846+00:00,0.0
2025-08-05 14:46:40.809846+00:00,0.0
2025-08-05 15:46:40.809846+00:00,0.0
2025-08-05 16:46:40.809846+00:00,0.0
2025-08-05 17:46:40.809846+00:00,0.0
2025-08-05 18:46:40.809846+00:00,0.0
2025-08-05 19:46:40.809846+00:00,0.0
2025-08-05 20:46:40.809846+00:00,0.0
2025-08-05 21:46:40.809846+00:00,0.0
2025-08-05 22:46:40.809846+00:00,0.0
2025-08-05 23:46:40.809846+00:00,0.0
2025-08-06 00:46:40.809846+00:00,0.0
2025-08-06 01:46:40.809846+00:00,0.0
2025-08-06 02:46:40.809846+00:00,0.0
2025-08-06 03:46:40.809846+00:00,0.0
2025-08-06 04:46:40.809846+00:00,0.0
2025-08-06 05:46:40.809846+00:00,0.0
2025-08-06 06:46:40.809846+00:00,0.0
2025-08-06 07:46:40.809846+00:00,0.0
2025-08-06 08:46:40.809846+00:00,0.0
2025-08-06 09:46:40.809846+00:00,0.0
2025-08-06 10:46:40.809846+00:00,0.0
2025-08-06 11:46:40.809846+00:00,0.0
2025-08-06 12:46:40.809846+00:00,0.0
2025-08-06 13:46:40.809846+00:00,0.0
2025-08-06 14:46:40.809846+00:00,0.0
2025-08-06 15:46:40.809846+00:00,0.0
2025-08-06 16:46:40.809846+00:00,0.0
2025-08-06 17:46:40.809846+00:00,0.0
2025-08-06 18:46:40.809846+00:00,0.0
2025-08-06 19:46:40.809846+00:00,0.0
2025-08-06 20:46:40.809846+00:00,0.0
2025-08-06 21:46:40.809846+00:00,0.0
2025-08-06 22:46:40.809846+00:00,0.0
2025-08-06 23:46:40.809846+00:00,0.0
2025-08-07 00:46:40.809846+00:00,0.0
2025-08-07 01:46:40.809846+00:00,0.0
2025-08-07 02:46:40.809846+00:00,0.0
2025-08-07 03:46:40.809846+00:00,0.0
2025-08-07 04:46:40.809846+00:00,0.0
2025-08-07 05:46:40.809846+00:00,0.0
2025-08-07 06:46:40.809846+00:00,0.0
2025-08-07 07:46:40.809846+00:00,0.0
2025-08-07 08:46:40.809846+00:00,0.0
2025-08-07 09:46:40.809846+00:00,0.0
2025-08-07 10:46:40.809846+00:00,0.0
2025-08-07 11:46:40.809846+00:00,0.0
2025-08-07 12:46:40.809846+00:00,0.0
2025-08-07 13:46:40.809846+00:00,0.0
2025-08-07 14:46:40.809846+00:00,0.0
2025-08-07 15:46:40.809846+00:00,0.0
